STATION_CODE,STATION_NAME,LATITUDE,LONGITUDE,NUMBER_OF_ROUTES,BIKE_CAPACITY,Cages,Hoops,Locker,Other,Parkiteer,PARKING_CAPACITY,ANNUAL_PATRONAGE,PRE_PEAK,AM_PEAK,INTERPEAK,PM_PEAK,POST_PEAK,WEEKDAY_ENTRIES,SAT_ENTRIES,SUN_ENTRIES,AVG_WEEKLY_ENTRIES,ACCESS_BUS,ACCESS_CAR,ACCESS_BIKE,ACCESS_OTHER,ACCESS_TRAIN,ACCESS_TRAM,ACCESS_WALK,PURPOSE_EDU,PURPOSE_NIL,PURPOSE_APTMNT,PURPOSE_SOCIAL,PURPOSE_TOURIST,PURPOSE_VISIT,PURPOSE_WORK,venues
HMT,heathmont,-37.83,145.24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.24,89.67,536.49,142.49,142.07,19.28,930.0,300.0,190.0,5140.0,0.01,0.34,0.02,0.0,0.0,0.0,0.63,0.1,0.0,0.08,0.15,0.0,0.03,0.64,0
HIG,highett,-37.95,145.04,1.0,26.0,0.0,0.0,0.0,0.0,1.0,116.0,0.45,97.38,716.41,325.9,322.18,78.13,1540.0,870.0,580.0,9150.0,0.1,0.22,0.01,0.01,0.0,0.0,0.67,0.17,0.02,0.11,0.12,0.0,0.05,0.52,17
GWY,glen waverley,-37.88,145.16,1.0,29.0,0.0,1.0,0.0,0.0,1.0,332.0,1.69,544.87,2735.76,1184.67,887.69,257.02,5610.0,3290.0,2580.0,33920.0,0.22,0.47,0.01,0.0,0.01,0.0,0.3,0.26,0.02,0.09,0.05,0.0,0.1,0.49,2
SYN,syndal,-37.88,145.15,1.0,26.0,0.0,0.0,0.0,1.0,1.0,585.0,0.69,272.24,1372.67,387.02,333.0,65.06,2430.0,1050.0,740.0,13940.0,0.1,0.35,0.0,0.0,0.03,0.0,0.52,0.23,0.0,0.04,0.09,0.0,0.03,0.6,0
MWY,mount waverley,-37.88,145.13,1.0,17.0,0.0,0.0,8.0,1.0,0.0,214.0,0.69,184.82,1156.29,481.03,510.39,67.48,2400.0,1220.0,880.0,14100.0,0.07,0.5,0.0,0.03,0.01,0.0,0.39,0.24,0.03,0.08,0.13,0.0,0.05,0.47,12
LIL,lilydale,-37.76,145.35,1.0,17.0,0.0,1.0,12.0,0.0,0.0,531.0,0.67,354.35,989.81,511.69,427.99,66.15,2350.0,1190.0,860.0,13800.0,0.23,0.51,0.02,0.0,0.02,0.0,0.22,0.28,0.0,0.1,0.07,0.0,0.09,0.47,26
MLK,mooroolbark,-37.78,145.31,1.0,6.0,0.0,1.0,0.0,0.0,0.0,475.0,0.64,423.66,1273.32,395.03,232.19,45.8,2370.0,920.0,580.0,13350.0,0.02,0.63,0.02,0.02,0.0,0.0,0.31,0.26,0.0,0.13,0.06,0.03,0.05,0.48,0
CDN,croydon,-37.8,145.28,1.0,29.0,0.0,0.0,4.0,0.0,1.0,290.0,0.82,429.7,1471.59,606.47,421.09,71.14,3000.0,1240.0,760.0,17000.0,0.25,0.4,0.0,0.0,0.02,0.0,0.32,0.32,0.0,0.11,0.1,0.0,0.02,0.46,12
RWE,ringwood east,-37.81,145.25,1.0,8.0,0.0,0.0,8.0,0.0,0.0,460.0,0.4,167.8,924.41,257.81,182.88,27.1,1560.0,450.0,280.0,8530.0,0.01,0.51,0.0,0.0,0.01,0.0,0.46,0.25,0.05,0.02,0.07,0.01,0.04,0.55,4
PKM,pakenham,-38.08,145.49,1.0,30.0,0.0,1.0,0.0,0.0,1.0,364.0,0.56,461.17,698.3,375.66,306.63,68.24,1910.0,1040.0,740.0,11330.0,0.06,0.62,0.03,0.0,0.04,0.0,0.25,0.2,0.0,0.05,0.07,0.0,0.13,0.54,0
OFC,officer,-38.07,145.41,1.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,0.02,12.75,30.64,11.71,13.62,1.28,70.0,20.0,20.0,390.0,0.0,0.67,0.0,0.0,0.03,0.0,0.3,0.13,0.02,0.0,0.1,0.0,0.11,0.65,1
BFD,beaconsfield,-38.05,145.37,1.0,0.0,0.0,0.0,0.0,0.0,0.0,341.0,0.21,193.26,367.53,119.19,147.03,13.0,840.0,200.0,130.0,4530.0,0.04,0.65,0.08,0.0,0.0,0.0,0.23,0.14,0.01,0.06,0.1,0.0,0.09,0.6,3
BEW,berwick,-38.04,145.35,1.0,41.0,0.0,0.0,15.0,0.0,1.0,937.0,0.83,615.61,1361.99,545.14,605.18,62.09,3190.0,900.0,590.0,17440.0,0.11,0.5,0.0,0.01,0.01,0.0,0.36,0.33,0.0,0.09,0.04,0.0,0.06,0.48,0
NWA,narre warren,-38.03,145.3,1.0,26.0,0.0,0.0,7.0,0.0,1.0,717.0,0.79,580.71,1370.97,470.42,308.24,99.66,2830.0,1100.0,770.0,16020.0,0.2,0.57,0.01,0.02,0.02,0.0,0.19,0.35,0.0,0.08,0.04,0.0,0.0,0.54,1
HLM,hallam,-38.02,145.27,1.0,25.0,0.0,0.0,0.0,0.0,1.0,590.0,0.61,440.98,1200.37,333.4,286.44,48.8,2310.0,660.0,440.0,12650.0,0.14,0.62,0.0,0.04,0.04,0.0,0.15,0.3,0.09,0.07,0.02,0.0,0.02,0.5,1
CBE,cranbourne,-38.1,145.28,1.0,44.0,0.0,0.0,18.0,1.0,1.0,683.0,0.6,480.02,942.87,424.51,229.48,53.12,2130.0,900.0,630.0,12180.0,0.28,0.49,0.0,0.02,0.0,0.0,0.21,0.19,0.0,0.07,0.09,0.0,0.03,0.61,2
MPK,merinda park,-38.08,145.26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,204.0,0.31,240.55,639.87,178.57,80.6,20.41,1160.0,370.0,260.0,6430.0,0.02,0.73,0.02,0.0,0.03,0.0,0.2,0.22,0.0,0.08,0.12,0.01,0.01,0.57,0
DNG,dandenong,-37.99,145.21,2.0,0.0,0.0,0.0,0.0,0.0,0.0,448.0,2.39,545.44,2278.5,2237.67,2693.41,544.98,8300.0,4340.0,3010.0,48850.0,0.31,0.27,0.01,0.01,0.12,0.0,0.29,0.25,0.02,0.14,0.06,0.0,0.07,0.46,17
YMN,yarraman,-37.98,145.19,2.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,0.28,102.01,450.98,263.09,162.43,31.48,1010.0,410.0,310.0,5770.0,0.02,0.46,0.02,0.01,0.03,0.0,0.46,0.37,0.01,0.07,0.09,0.0,0.01,0.45,6
NPK,noble park,-37.97,145.18,2.0,23.0,0.0,1.0,18.0,0.0,0.0,331.0,1.06,407.59,1518.55,940.67,769.6,153.59,3790.0,1690.0,1210.0,21850.0,0.05,0.31,0.0,0.0,0.03,0.0,0.61,0.17,0.0,0.04,0.3,0.0,0.08,0.41,1
SNP,sandown park,-37.96,145.16,2.0,8.0,0.0,0.0,8.0,0.0,0.0,560.0,0.53,193.47,1140.09,359.47,164.0,42.96,1900.0,700.0,540.0,10740.0,0.0,0.73,0.0,0.0,0.0,0.0,0.27,0.29,0.01,0.07,0.06,0.0,0.02,0.56,2
ECM,east camberwell,-37.83,145.07,2.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.25,27.94,404.27,194.29,351.89,21.61,1000.0,280.0,180.0,5460.0,0.0,0.2,0.0,0.0,0.06,0.0,0.74,0.13,0.0,0.13,0.13,0.02,0.0,0.59,3
